,Unnamed: 0,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
7903,12383,['2024-07-05T17:44:15Z'],['UgzNBEfnYU2rHRXJxG54AaABAg'],Feels proud ☺️🥰,[0],[2],feels proud
7904,12384,['2024-07-05T17:43:41Z'],['UgznYbru6gRb6RrqeNd4AaABAg'],Comment section filled with andhbhakts 😂😂🙏🙏,[1],[2],comment section filled with andhbhakts
7905,12386,['2024-07-05T17:43:26Z'],['UgzT4UPZip5oMsIjZpl4AaABAg'],Mujhe bahut proud feel hota hai ki Hamare Desh Ke PM Modi ji Hain❤,[0],[68],mujhe bahut proud feel hota hai ki hamare desh ke pm modi ji hain
7906,12387,['2024-07-05T17:43:21Z'],['Ugwr9bO6-TFvxdLV95l4AaABAg'],When virat sir said : Ahenkar is not bigger than game 🎯❤,[0],[1],when virat sir said ahenkar is not bigger than game
7907,12388,['2024-07-05T17:43:03Z'],['UgzLYonuHSAx0pp27n14AaABAg'],Wow what a gesture ❤,[0],[1],wow what a gesture
7908,12390,['2024-07-05T17:42:29Z'],['UgwqWZjy80ODjfZ7H-V4AaABAg'],Ravindra jadeja and Axar patel se bhi unka Experience puch lete. Axar ke runs bhi kafi important the Modiji.,[0],[0],ravindra jadeja and axar patel se bhi unka experience puch lete axar ke runs bhi kafi important the modiji
7909,12391,['2024-07-05T17:42:15Z'],['UgzomRxQrPkkeIMgQEt4AaABAg'],Bhot acha laga modi ji apna india team ko support kiya ❤❤,[0],[0],bhot acha laga modi ji apna india team ko support kiya
7910,12392,['2024-07-05T17:42:04Z'],['Ugw8EgAdBxa3u7GM5F94AaABAg'],everything is temperry  but Rohit sir ka ye woh permanent 💙😂,[0],[1],everything is temperry but rohit sir ka ye woh permanent
7911,12393,['2024-07-05T17:42:04Z'],['Ugx8yVfcxw3KYP0GZRJ4AaABAg'],Best team with the best PM ever,[0],[0],best team with the best pm ever
7913,12395,['2024-07-05T17:41:41Z'],['Ugy8ZtMn29BkWC0VZDl4AaABAg'],Nice one! Jai Ho!,[0],[0],nice one jai ho
7914,12397,['2024-07-05T17:41:38Z'],['Ugz9nSs6z1ixd51Mm1N4AaABAg'],pure soul all my heros...its an emotion not scripted one ..have learn something main stream media and spokesperson of all political parties..,[0],[0],pure soul all my herosits an emotion not scripted one have learn something main stream media and spokesperson of all political parties
7915,12398,['2024-07-05T17:41:17Z'],['UgzKMq22Tiotr4oF9MV4AaABAg'],its really awesome to see that our prime minister always supports team spirit 🙏🙏🙏🇮🇳🇮🇳🇮🇳,[0],[1],its really awesome to see that our prime minister always supports team spirit
7916,12400,['2024-07-05T17:40:57Z'],['UgzZZvDH0ldzIlNeSh94AaABAg'],Yaar yeh wali khushi kabhi khtm nhi honi chahiye!!!,[0],[0],yaar yeh wali khushi kabhi khtm nhi honi chahiye
7917,12403,['2024-07-05T17:40:44Z'],['UgwisV7jisxS2FOX4rt4AaABAg'],The greatest leader ever ...,[0],[0],the greatest leader ever
7920,12408,['2024-07-05T17:40:10Z'],['UgyNuuz4gYMWXhYZzmN4AaABAg'],MODI HAI TOMUNKiN HAii🏆,[0],[1],modi hai tomunkin haii
7921,12410,['2024-07-05T17:39:59Z'],['UgzxqTxFruVCuO71Jfx4AaABAg'],"Thanx to Our Respected Pm Sri Narendra Modi ji for inviting the champion, feeling proud,Jai Hind...",[0],[0],thanx to our respected pm sri narendra modi ji for inviting the champion feeling proudjai hind
7922,12412,['2024-07-05T17:39:38Z'],['UgxEQN_4k-6fHs4Dcv54AaABAg'],Subscribe my channel,[0],[0],subscribe my channel
7923,12413,['2024-07-05T17:39:30Z'],['Ugx_7dTuqk-Ab5SOmDF4AaABAg'],Sanjyu samasung ke sath hath kyu na milaya sir😢,[1],[0],sanjyu samasung ke sath hath kyu na milaya sir
7924,12414,['2024-07-05T17:39:15Z'],['UgwHhlLo9RwKDFF75Ap4AaABAg'],Ak pm aisa bhi ❤,[0],[0],ak pm aisa bhi
7925,12415,['2024-07-05T17:39:11Z'],['UgxJ9g9IJ4T1vEDiwct4AaABAg'],Great show Sir apke aur Team India ke taraf se Proud feeling,[0],[0],great show sir apke aur team india ke taraf se proud feeling
7926,12416,['2024-07-05T17:39:06Z'],['UgyZtxIRyvNKgHzHkjZ4AaABAg'],Dhanyawad Modi sir,[0],[0],dhanyawad modi sir
7927,12417,['2024-07-05T17:38:59Z'],['Ugy4szclesrnwPWv6oF4AaABAg'],I am waiting for this video,[0],[0],i am waiting for this video
7928,12418,['2024-07-05T17:38:59Z'],['UgyHtuU0IsiFddEtIaV4AaABAg'],Mr Narendra Modi Great leader in the indian Democracy,[0],[1],mr narendra modi great leader in the indian democracy
7929,12419,['2024-07-05T17:38:59Z'],['UgyiI-h5QRQG8JsB7xh4AaABAg'],best video in internet love you ICT ♥♥,[0],[1],best video in internet love you ict
7930,12421,['2024-07-05T17:38:49Z'],['Ugy4f64ExsuMQSIHUtl4AaABAg'],हमारे PM जो बात है वह किसी PM मे नही duniyar me,[0],[0],pm pm duniyar me
7931,12423,['2024-07-05T17:38:44Z'],['Ugze-yqisaxiJI9DUid4AaABAg'],Felt bad for shivam debe and sanju samson. Firstly world cup and now even modi ji didnt even talk to them. Feel sad for them. 😢,[0],[2],felt bad for shivam debe and sanju samson firstly world cup and now even modi ji didnt even talk to them feel sad for them
7932,12424,['2024-07-05T17:38:38Z'],['Ugzb7VkUDpwFZhoTldR4AaABAg'],King 👑 Kohli rohith ❤❤❤❤❤❤❤❤,[0],[0],king kohli rohith
7933,12430,['2024-07-05T17:37:29Z'],['Ugz4m0RYKyokvxW51Fx4AaABAg'],Modi sir aisa lagta hai aapke kaamo ko dekh kar ki aap Swami Vivekananda ke Bharat ko sakaar kar rahe hai.... .  We are proud because of you and we are with you... Take care sir......,[0],[0],modi sir aisa lagta hai aapke kaamo ko dekh kar ki aap swami vivekananda ke bharat ko sakaar kar rahe hai we are proud because of you and we are with you take care sir
7934,12431,['2024-07-05T17:37:12Z'],['UgxHX-2Itjs8WbVBZV54AaABAg'],I thought Ravindra Jadeja also deserved some appreciation for his outstanding contribution in his cricketing career,[1],[0],i thought ravindra jadeja also deserved some appreciation for his outstanding contribution in his cricketing career
7935,12432,['2024-07-05T17:37:10Z'],['UgyJS2pNwzyJ2r-Z6ph4AaABAg'],Amazing show .The way our PM spoke to them no wonder y ur the most loved leader sir❤. At the end of was so emotional ❤,[0],[0],amazing show the way our pm spoke to them no wonder y ur the most loved leader sir at the end of was so emotional
7936,12433,['2024-07-05T17:37:01Z'],['Ugxm9h0z8pFiF9arkSJ4AaABAg'],Respect for each and every one ❤❤,[0],[1],respect for each and every one
7937,12435,['2024-07-05T17:36:28Z'],['UgyvyBCbqSuyF5PZklt4AaABAg'],Excellent works 🎉 team India 🙏,[0],[2],excellent works team india
7938,12436,['2024-07-05T17:36:25Z'],['UgzecFq0HW9BLbro0dx4AaABAg'],Such me great pm modi ji❤❤❤❤❤,[0],[0],such me great pm modi ji
7939,12437,['2024-07-05T17:36:15Z'],['Ugx7faxtl1U9TY5EYJ94AaABAg'],Sanju ke liye bura laga sirf.... Usse bhi bat krna chahiye tha.. He is just underrated....,[0],[0],sanju ke liye bura laga sirf usse bhi bat krna chahiye tha he is just underrated
7940,12438,['2024-07-05T17:36:10Z'],['UgyrTuwfIxOdQr01VpZ4AaABAg'],मोदी sir का एडिटर जबदस्त हैं। दिल से शुक्रिया भाई साहब editer,[0],[0],sir editer
7941,12439,['2024-07-05T17:36:00Z'],['Ugw2jDxmtcmp9OfpMBd4AaABAg'],ALWAYS WITH PM MODI ❤ SUCH A GOLDEN HEART HE GOT ❤,[0],[0],always with pm modi such a golden heart he got
7942,12440,['2024-07-05T17:35:38Z'],['UgzSosKDX61kYbvcD2R4AaABAg'],Great Leader honorable prime minister Modi ji love you ❤❤,[0],[1],great leader honorable prime minister modi ji love you
7943,12441,['2024-07-05T17:35:32Z'],['Ugzm1bqi4TVE4SuaqMF4AaABAg'],Mere desh ka pm ho to esa bhut acha laga sir aap ne puri team ko bulaya or jis tarh se mile unse ek parivar ki tarh bhut proud fill hota he ki aap humare pm ho sir aapko koti koti naman❤❤❤,[0],[3],mere desh ka pm ho to esa bhut acha laga sir aap ne puri team ko bulaya or jis tarh se mile unse ek parivar ki tarh bhut proud fill hota he ki aap humare pm ho sir aapko koti koti naman
7944,12443,['2024-07-05T17:35:24Z'],['UgzGUIq_HOR58e8IwSV4AaABAg'],Yuzi can have fun with literally anyone 😂,[0],[0],yuzi can have fun with literally anyone
7945,12444,['2024-07-05T17:35:22Z'],['UgxNlzYn4rpol13UMbJ4AaABAg'],great  movement   adardiye Modi ji Puri team  ko  subhkamnaiye Word cup  jeet  aur final match yadgar rahega Welldone Rohit  kohli bumra  hardik  all player  Surya ka kya catch tha ❤🎉,[0],[0],great movement adardiye modi ji puri team ko subhkamnaiye word cup jeet aur final match yadgar rahega welldone rohit kohli bumra hardik all player surya ka kya catch tha
7946,12445,['2024-07-05T17:35:19Z'],['Ugx78VTxN3eEzMp-I7Z4AaABAg'],"Love you so much sir keep motivating to every sports person, country will always support you ❤",[0],[0],love you so much sir keep motivating to every sports person country will always support you
7947,12446,['2024-07-05T17:35:18Z'],['Ugwmc84wTOI6p5vrIKZ4AaABAg'],Modi love from Bangladesh everyone ❤,[0],[0],modi love from bangladesh everyone
7948,12447,['2024-07-05T17:35:18Z'],['UgwGTLBhgiYqh-1GHWN4AaABAg'],हमारे PM पर हमको proud है जो हमारे टीम के मेम्बर है,[0],[0],pm proud
7949,12448,['2024-07-05T17:35:17Z'],['UgxMSGGo_vgtU6KIcG94AaABAg'],Jindagi me kushi ka ahesaas tabi hoti he jab haar ko  jeet me badal deni ki kshamta hamare andar hoti he... Im so Proud of indian team and modi sir.. ❤❤,[0],[0],jindagi me kushi ka ahesaas tabi hoti he jab haar ko jeet me badal deni ki kshamta hamare andar hoti he im so proud of indian team and modi sir
7950,12450,['2024-07-05T17:35:09Z'],['UgzK4VwjfxZYfNVrA414AaABAg'],Aadarniy Narendra Modi ji Ne Bhartiya cricket team ko aadar Samman Diya iske liye Modi ji aapko bahut bahut dhanyvad,[0],[0],aadarniy narendra modi ji ne bhartiya cricket team ko aadar samman diya iske liye modi ji aapko bahut bahut dhanyvad
7951,12451,['2024-07-05T17:34:41Z'],['UgxqGK1hLdr5-6wSsNt4AaABAg'],Ek hi dil hai kitni baar jeetoge modi ji ❤,[0],[0],ek hi dil hai kitni baar jeetoge modi ji
7952,12455,['2024-07-05T17:33:34Z'],['UgzoB0Ibj_KeavPZftp4AaABAg'],"He is the first to stand with the team in hardships may it be Indian team , isro or any other",[0],[0],he is the first to stand with the team in hardships may it be indian team isro or any other
7954,12457,['2024-07-05T17:33:23Z'],['Ugzg4hCJ8IckvBRN7DF4AaABAg'],Is Siraj Samson not taking photo ???,[0],[0],is siraj samson not taking photo
7957,12461,['2024-07-05T17:33:02Z'],['UgwC1EdnaFQy_wGdmgJ4AaABAg'],"Sucj greatest pm of all time hats off sir appreciate player and interact like friend thank you sir ❤,🙏🙏",[0],[0],sucj greatest pm of all time hats off sir appreciate player and interact like friend thank you sir
7958,12462,['2024-07-05T17:33:01Z'],['UgyQdqHeqASV2qeVY5Z4AaABAg'],Kapil sharma ko bhi fail kr diya modi ji ne toh,[0],[0],kapil sharma ko bhi fail kr diya modi ji ne toh
7959,12463,['2024-07-05T17:32:49Z'],['UgzHBB1Ok5RPvrwaOQh4AaABAg'],Modi ji to chahal was epic 😂,[0],[12],modi ji to chahal was epic
7960,12464,['2024-07-05T17:32:42Z'],['UgyOShuNrXi23cBmS2J4AaABAg'],Muje proud hai apne desh k pm pr and apni Indian cricket team pr.❤❤❤,[0],[2],muje proud hai apne desh k pm pr and apni indian cricket team pr
7961,12465,['2024-07-05T17:32:37Z'],['Ugxa7bSE6fcRhhzG5Rh4AaABAg'],Shivam Dube = yuvraj sing ❤❤❤❤,[5],[1],shivam dube yuvraj sing
7962,12466,['2024-07-05T17:32:35Z'],['Ugy6o837245rTEpaI6V4AaABAg'],Modi ji Dhnaya Hai Guru na koi tha na koi hoga ❤,[0],[0],modi ji dhnaya hai guru na koi tha na koi hoga
7963,12468,['2024-07-05T17:32:12Z'],['UgzsmH_C7zgNVeQJoRh4AaABAg'],Modi ji bcho ko dekhte hi dada ji bn jte h❤❤❤❤,[0],[0],modi ji bcho ko dekhte hi dada ji bn jte h
7964,12469,['2024-07-05T17:32:07Z'],['Ugw_WkOIwrEkXDxJF354AaABAg'],Thank you honourable PM and team India for giving us a World Cup ❤❤,[0],[0],thank you honourable pm and team india for giving us a world cup
7967,12474,['2024-07-05T17:31:42Z'],['UgxSJZuVdr97F_pkdOp4AaABAg'],Proud of INDIA Cricket 🏏 Team ❤❤❤❤,[0],[0],proud of india cricket team
7968,12478,['2024-07-05T17:31:13Z'],['Ugwf8wLn0GxV_381-l14AaABAg'],Bhai Dhruv ye .. modi ji dictatorship meeting kr rhe h 😅 video bna 😂,[0],[1],bhai dhruv ye modi ji dictatorship meeting kr rhe h video bna
7969,12479,['2024-07-05T17:31:01Z'],['Ugy_WUXw4tDKJMIMKQt4AaABAg'],Standing with the team in times of grief and victory...Qualities of a great leader..Thank you  MODI ji,[0],[7],standing with the team in times of grief and victoryqualities of a great leaderthank you modi ji
7970,12481,['2024-07-05T17:30:57Z'],['Ugxx2dqhXG99UFxjcYV4AaABAg'],On  Behalf Of Whole Country Accept Our Sat Sat Koti Koti Sastang Dandvant Pranam Sah Jay Swaminarayan ! Jay Shree Krishna ! Jay Ramjiki ! Jay Bharat ! Jai Hind ! To Our His Highness Sevak Prime Minister Loving Modiji And Bharatiye Cricket Team Members ❤️🙏❤️🙏❤️🙏❤️🙏❤️🙏❤️🙏❤️🙏❤️🙏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,[0],[0],on behalf of whole country accept our sat sat koti koti sastang dandvant pranam sah jay swaminarayan jay shree krishna jay ramjiki jay bharat jai hind to our his highness sevak prime minister loving modiji and bharatiye cricket team members
